#X,Acoustic Pressure across Frequency(2)_At Node 3762,Acoustic Pressure across Frequency(2)_At Node 3762
#Frequency(Hz),Pressure(N/mm^2(MPa))_Magnitude,Angle(degrees)_Phase
20.000000,0.000175,-270.000000
30.000000,0.000117,-269.999999
40.000000,0.000088,-269.999998
50.000000,0.000071,-269.999996
60.000000,0.000060,-269.999992
70.000000,0.000052,-269.999987
80.000000,0.000045,-269.999981
90.000000,0.000041,-269.999972
100.000000,0.000037,-269.999961
110.000000,0.000034,-269.999947
120.000000,0.000032,-269.999929
130.000000,0.000030,-269.999907
140.000000,0.000028,-269.999881
150.000000,0.000027,-269.999848
160.000000,0.000026,-269.999809
170.000000,0.000025,-269.999760
180.000000,0.000024,-269.999702
190.000000,0.000023,-269.999629
200.000000,0.000022,-269.999540
210.000000,0.000022,-269.999429
220.000000,0.000021,-269.999287
230.000000,0.000021,-269.999105
240.000000,0.000021,-269.998863
250.000000,0.000021,-269.998533
260.000000,0.000021,-269.998067
270.000000,0.000020,-269.997372
280.000000,0.000020,-269.996264
290.000000,0.000020,-269.994323
300.000000,0.000020,-269.990407
310.000000,0.000020,-269.980402
320.000000,0.000020,-269.938999
330.000000,0.000016,-268.779502
340.000000,0.000026,-269.812245
350.000000,0.000025,-269.977207
360.000000,0.000027,-270.091367
370.000000,0.000021,-270.095640
380.000000,0.000024,-270.011066
390.000000,0.000025,-270.004179
400.000000,0.000026,-270.002453
410.000000,0.000027,-270.001825
420.000000,0.000028,-270.001546
430.000000,0.000029,-270.001406
440.000000,0.000030,-270.001331
450.000000,0.000032,-270.001288
460.000000,0.000034,-270.001265
470.000000,0.000036,-270.001254
480.000000,0.000038,-270.001251
490.000000,0.000040,-270.001254
500.000000,0.000043,-270.001262
510.000000,0.000046,-270.001274
520.000000,0.000050,-270.001290
530.000000,0.000054,-270.001311
540.000000,0.000059,-270.001336
550.000000,0.000065,-270.001365
560.000000,0.000072,-270.001398
570.000000,0.000079,-270.001438
580.000000,0.000089,-270.001483
590.000000,0.000100,-270.001536
600.000000,0.000113,-270.001598
610.000000,0.000130,-270.001670
620.000000,0.000150,-270.001755
630.000000,0.000176,-270.001858
640.000000,0.000210,-270.001984
650.000000,0.000253,-270.002140
660.000000,0.000313,-270.002341
670.000000,0.000396,-270.002609
680.000000,0.000520,-270.002983
690.000000,0.000715,-270.003549
700.000000,0.001060,-270.005472
710.000000,0.001792,-270.006461
720.000000,0.004196,-270.025915
730.000000,0.051488,-89.873479
740.000000,0.004581,-89.990950
750.000000,0.002756,-89.995709
760.000000,0.002185,-89.997388
770.000000,0.001969,-89.998252
780.000000,0.001927,-89.998783
790.000000,0.002016,-89.999148
800.000000,0.002245,-89.999422
810.000000,0.002683,-89.999645
820.000000,0.003516,-89.999849
830.000000,0.005359,-90.000080
840.000000,0.011681,-90.000532
850.000000,0.082120,-269.995618
860.000000,0.009954,-269.999574
870.000000,0.005780,-269.999894
880.000000,0.004471,-270.000070
890.000000,0.004057,-270.000221
900.000000,0.004242,-270.000396
910.000000,0.005383,-270.000688
920.000000,0.010936,-270.001672
930.000000,0.019142,-89.996874
940.000000,0.004002,-89.999385
950.000000,0.001978,-89.999766
960.000000,0.001215,-89.999937
970.000000,0.000829,-90.000044
980.000000,0.000603,-90.000122
990.000000,0.000459,-90.000184
1000.000000,0.000361,-90.000237
1010.000000,0.000291,-90.000285
1020.000000,0.000239,-90.000327
1030.000000,0.000200,-90.000283
1040.000000,0.000170,-90.000407
1050.000000,0.000146,-90.000445
1060.000000,0.000127,-90.000480
1070.000000,0.000111,-90.000515
1080.000000,0.000098,-90.000550
1090.000000,0.000088,-90.000583
1100.000000,0.000079,-90.000616
1110.000000,0.000071,-90.000648
1120.000000,0.000065,-90.000639
1130.000000,0.000059,-90.000712
1140.000000,0.000054,-89.987859
1150.000000,0.000050,-90.000786
1160.000000,0.000046,-90.000829
1170.000000,0.000043,-90.000880
1180.000000,0.000040,-90.000949
1190.000000,0.000038,-90.001053
1200.000000,0.000036,-90.001231
1210.000000,0.000034,-90.001573
1220.000000,0.000032,-90.002321
1230.000000,0.000031,-90.004265
1240.000000,0.000029,-90.011075
1250.000000,0.000028,-90.064057
1260.000000,0.000025,-90.315465
1270.000000,0.000025,-89.985257
1280.000000,0.000024,-89.949752
1290.000000,0.000021,-89.817425
1300.000000,0.000005,-60.893284
1310.000000,0.000028,-89.727814
1320.000000,0.000025,-89.942732
1330.000000,0.000024,-89.976616
1340.000000,0.000023,-89.988028
1350.000000,0.000023,-89.993167
1360.000000,0.000022,-89.995937
1370.000000,0.000022,-89.997620
1380.000000,0.000022,-89.998735
1390.000000,0.000022,-89.999527
1400.000000,0.000022,-90.000124
1410.000000,0.000022,-90.000597
1420.000000,0.000022,-90.000988
1430.000000,0.000023,-90.001325
1440.000000,0.000023,-90.001627
1450.000000,0.000023,-90.001906
1460.000000,0.000024,-90.002173
1470.000000,0.000025,-90.002437
1480.000000,0.000025,-90.002721
1490.000000,0.000026,-90.002993
1500.000000,0.000028,-90.003262
1510.000000,0.000029,-90.003573
1520.000000,0.000031,-90.003917
1530.000000,0.000033,-90.004306
1540.000000,0.000035,-90.004754
1550.000000,0.000039,-90.005283
1560.000000,0.000043,-90.005926
1570.000000,0.000048,-90.006730
1580.000000,0.000055,-90.007778
1590.000000,0.000064,-90.009211
1600.000000,0.000079,-90.011308
1610.000000,0.000102,-90.014702
1620.000000,0.000148,-90.021188
1630.000000,0.000272,-90.038702
1640.000000,0.001871,-90.263744
1650.000000,0.000376,-269.947612
1660.000000,0.000170,-269.973363
1670.000000,0.000109,-269.985171
1680.000000,0.000080,-269.989335
1690.000000,0.000063,-269.991775
1700.000000,0.000052,-269.993308
1710.000000,0.000045,-269.994523
1720.000000,0.000039,-269.995392
1730.000000,0.000036,-269.994690
1740.000000,0.000031,-269.996596
1750.000000,0.000028,-269.997046
1760.000000,0.000026,-269.997423
1770.000000,0.000024,-269.997744
1780.000000,0.000022,-269.998024
1790.000000,0.000021,-269.998269
1800.000000,0.000020,-269.998488
1810.000000,0.000018,-269.998684
1820.000000,0.000017,-269.998862
1830.000000,0.000017,-269.999026
1840.000000,0.000016,-269.999177
1850.000000,0.000015,-269.999318
1860.000000,0.000014,-269.999451
1870.000000,0.000014,-269.999577
1880.000000,0.000013,-269.999697
1890.000000,0.000013,-269.999815
1900.000000,0.000012,-269.999929
1910.000000,0.000012,-270.000042
1920.000000,0.000011,-270.000144
1930.000000,0.000011,-270.002783
1940.000000,0.000010,-269.750450
1950.000000,0.000010,-269.992035
1960.000000,0.000009,-269.998600
1970.000000,0.000008,-269.995627
1980.000000,0.000008,-269.986741
1990.000000,0.000007,-270.000737
2000.000000,0.000006,-270.001601


